current_master_path	exact_literal	presentation_type	resolution_mechanism
groupFile/Face/Eyes	Eye_Crease_Lower_Right	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_down	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_extrabone_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_extrabone_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Grow	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Hoo	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_iris_left	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_iris_right	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Jnt_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Jnt_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_l	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Eye_L_end	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_L_root	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_large	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_Lef	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_Left	BONE	SCANNER_EXACT
groupFile/Face/Eyes	eye_left_down	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_left_left	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_left_pupil	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_left_right	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_left_up	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Look_Down	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Look_In	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Look_Out	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Look_Up	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	eye_off	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_r	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Eye_R_end	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_R_root	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_Righ	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_Right	BONE	SCANNER_EXACT
groupFile/Face/Eyes	eye_right_down	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_right_left	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_right_pupil	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_right_right	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_right_up	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye_round	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_S_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_S_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Shrink	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Siz	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_small	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Smaller	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Squint	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Squint_Left	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Squint_Right	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_SquintL	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_SquintR	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_sub_01_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	Eye_sub_01_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	Eye_sub_02_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	Eye_sub_02_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	Eye_sub_03_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	Eye_sub_03_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	eye_Switch	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_up	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Up_Down_L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Up_Down_R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_Wide	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Wide_Left	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Wide_Lower	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Wide_Lower_Left	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Wide_Lower_Right	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Wide_Right	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye_Widen	FLEX	PROVENANCE_SIBLING_BONES
groupFile/Face/Eyes	Eye_WidenL	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye_WidenR	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	EyeAngryLeft	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	EyeAngryRight	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	eyeball	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-IrisSizeBig-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-IrisSizeBig-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-IrisSizeSmall-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-IrisSizeSmall-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-SizeBig-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-SizeBig-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-SizeSmall-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-SizeSmall-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-Tiny-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball-Tiny-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeball.L	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Eyeball.R	BONE	SCANNER_EXACT
groupFile/Face/Eyes	EYEBALL_01_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	EYEBALL_01_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	EYEBALL_02_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	EYEBALL_02_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	eyeball_L	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Eyeball_Left	BONE	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	eyeball_R	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Eyeball_Right	BONE	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	EyeballL	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	EyeballR	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Eyeballs-Big	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eyeballs-Big-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-Big-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-BigIris-L	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eyeballs-BigIris-R	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eyeballs-BigPupil-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-BigPupil-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-BigSize-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-BigSize-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-CatShape-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-CatShape-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-FixClipping-Both	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-GoatEyes-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-GoatEyes-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-HeartShape-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-HeartShape-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-Iris-Big	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-Iris-Small	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-IrisBig-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-IrisBig-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-IrisSizeBig-L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-IrisSizeBig-R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eyeballs-IrisSizeSmall-L	FLEX	HUMAN_REVIEWED
